Longitude,Latitude,Pixel,Scan
136.062805,61.2438492,3600,500
136.140392,61.2433594,3700,500
136.217997,61.2428165,3800,500
136.295622,61.2422205,3900,500
136.37249,61.2415782,3999,500
133.275991,61.2413884,0,600
133.353316,61.2427951,100,600
133.43064,61.244149,200,600
133.507963,61.2454503,300,600
133.585285,61.246699,400,600
133.662608,61.2478949,500,600
133.739932,61.2490383,600,600
133.817257,61.2501291,700,600
133.894584,61.2511672,800,600
133.971914,61.2521528,900,600
134.049246,61.2530858,1000,600
134.126583,61.2539663,1100,600
134.203923,61.2547942,1200,600
134.281268,61.2555695,1300,600
134.358618,61.2562923,1400,600
134.435974,61.2569626,1500,600
134.513336,61.2575803,1600,600
134.590706,61.2581454,1700,600
134.668082,61.258658,1800,600
134.745467,61.259118,1900,600
134.82286,61.2595255,2000,600
134.900263,61.2598804,2100,600
134.977675,61.2601826,2200,600
135.055097,61.2604323,2300,600
135.13253,61.2606293,2400,600
135.209975,61.2607737,2500,600
135.287431,61.2608654,2600,600
135.364899,61.2609044,2700,600
135.442381,61.2608907,2800,600
135.519876,61.2608242,2900,600
135.597386,61.260705,3000,600
135.67491,61.2605329,3100,600
135.752449,61.260308,3200,600
135.830004,61.2600302,3300,600
135.907576,61.2596996,3400,600
135.985164,61.2593159,3500,600
136.06277,61.2588793,3600,600
136.140394,61.2583896,3700,600
136.218036,61.2578468,3800,600
136.295698,61.257251,3900,600
136.372602,61.2566086,3999,600
133.274895,61.2563555,0,700
133.352257,61.2577626,100,700
133.429617,61.259117,200,700
133.506977,61.2604187,300,700
133.584337,61.2616677,400,700
133.661697,61.262864,500,700
133.739057,61.2640077,600,700
133.816419,61.2650988,700,700
133.893783,61.2661372,800,700
133.97115,61.267123,900,700
134.048519,61.2680563,1000,700
134.125893,61.2689369,1100,700
134.20327,61.269765,1200,700
134.280652,61.2705404,1300,700
134.358039,61.2712634,1400,700
134.435432,61.2719337,1500,700
134.512832,61.2725514,1600,700
134.590238,61.2731166,1700,700
134.667652,61.2736292,1800,700
134.745074,61.2740892,1900,700
134.822504,61.2744966,2000,700
134.899944,61.2748514,2100,700
134.977393,61.2751535,2200,700
135.054852,61.275403,2300,700
135.132323,61.2755999,2400,700
135.209804,61.2757441,2500,700
135.287298,61.2758355,2600,700
